Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),53.49,0.00,193.95,,,,,,51.22,,51.90,95.27,98.14,10.80
Active Decode Throughput Per User (tokens/sec/user),50.81,0.00,128.68,,,,,,51.15,,51.68,51.86,54.22,2.62
Active Prefill Throughput (tokens/sec),176134.25,48924.38,439091.52,,,,,,167986.40,,291072.46,350261.44,439091.52,88049.33
Active Prefill Throughput Per User (tokens/sec/user),176134.25,48924.38,439091.52,,,,,,167986.40,,291072.46,350261.44,439091.52,88049.33
Active Total Throughput (tokens/sec),7137.80,47.94,439091.52,,,,,,51.23,,52.05,97.08,251742.51,38847.88
Credit-to-Start Latency (ms),0.94,0.71,1.87,42.17,0.72,0.74,0.78,0.84,0.89,0.95,1.09,1.31,1.69,0.20
Decode Duration (ms),16313.99,158.18,78658.21,734129.50,220.39,1684.20,2104.11,3503.53,10920.56,18403.48,45307.88,58311.01,75836.03,19091.70
E2E Output Token Throughput (tokens/sec/user),45.49,11.41,50.82,2047.25,13.69,38.28,42.15,45.01,47.60,49.48,50.14,50.47,50.78,7.45
Effective Concurrency,0.82,0.00,2.00,,,,,,1.00,,1.00,1.00,2.00,0.48
Effective Decode Concurrency,0.79,0.00,2.00,,,,,,1.00,,1.00,1.00,2.00,0.50
Effective Decode Throughput (tokens/sec),40.01,0.00,193.95,,,,,,50.89,,51.74,53.44,97.92,25.03
Effective Decode Throughput Per User (tokens/sec/user),38.01,0.00,128.68,,,,,,50.76,,51.59,51.78,53.11,22.18
Effective Latency (CO-aware) (ms),16961.21,789.40,80061.35,763254.51,867.17,2242.24,2585.95,3900.67,11417.64,18894.96,46414.69,58920.11,76878.27,19215.19
Effective Prefill Concurrency,0.03,0.00,1.00,,,,,,0.00,,0.00,0.00,1.00,0.17
Effective Prefill Throughput (tokens/sec),5508.04,0.00,439091.52,,,,,,0.00,,0.00,0.00,218806.16,34383.97
Effective Prefill Throughput Per User (tokens/sec/user),5508.04,0.00,439091.52,,,,,,0.00,,0.00,0.00,218806.16,34383.97
Effective Total Throughput (tokens/sec),5548.06,0.00,439091.52,,,,,,51.12,,51.74,96.64,218806.16,34378.11
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,827.93,9.00,4045.00,37257.00,12.08,85.80,109.40,183.00,522.00,945.00,2328.20,2821.80,3890.56,967.05
HTTP Chunks Sent,1.00,1.00,1.00,45.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.24,0.00,2.24,10.92,0.00,0.00,0.00,0.00,0.00,0.46,0.55,0.69,2.15,0.47
