Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),33.35,0.00,5203.41,,,,,,41.94,,58.28,68.46,74.76,25.34
Active Decode Throughput Per User (tokens/sec/user),14.71,0.00,1300.85,,,,,,16.25,,39.90,40.52,41.15,12.80
Active Prefill Throughput (tokens/sec),12975.18,1050.59,85297.08,,,,,,8852.84,,26626.18,44129.67,63222.78,12305.54
Active Prefill Throughput Per User (tokens/sec/user),11618.83,1050.59,85297.08,,,,,,7644.14,,26263.77,44129.67,63222.78,12466.76
Active Total Throughput (tokens/sec),4729.54,9.81,85326.62,,,,,,42.74,,13801.33,24306.71,49712.57,9673.28
Credit-to-Start Latency (ms),0.90,0.54,4.26,58.43,0.55,0.59,0.61,0.67,0.76,0.93,1.19,1.66,2.89,0.52
Decode Duration (ms),31419.01,53.36,551131.72,2042235.70,1112.52,4024.01,5237.32,6106.81,8052.73,15031.41,33696.27,164156.41,379706.33,81731.59
E2E Output Token Throughput (tokens/sec/user),11.29,0.64,32.70,733.67,2.32,3.90,5.67,7.73,11.00,13.56,18.36,21.12,28.69,5.51
Effective Concurrency,2.72,0.00,4.00,,,,,,3.00,,4.00,4.00,4.00,1.03
Effective Decode Concurrency,2.24,0.00,4.00,,,,,,2.00,,3.00,4.00,4.00,1.07
Effective Decode Throughput (tokens/sec),31.33,0.00,5203.41,,,,,,40.92,,56.94,67.97,73.66,25.82
Effective Decode Throughput Per User (tokens/sec/user),13.82,0.00,1300.85,,,,,,16.14,,39.73,40.48,41.14,12.90
Effective Latency (CO-aware) (ms),38084.30,3148.85,566728.25,2475479.19,3458.34,5721.39,6423.40,9449.52,15351.27,27735.00,41488.57,180523.85,393420.56,83568.19
Effective Prefill Concurrency,0.48,0.00,3.00,,,,,,0.00,,1.00,2.00,3.00,0.74
Effective Prefill Throughput (tokens/sec),4581.90,0.00,85297.08,,,,,,0.00,,13791.50,23449.94,49682.83,9588.01
Effective Prefill Throughput Per User (tokens/sec/user),4102.93,0.00,85297.08,,,,,,0.00,,11579.14,22953.91,49682.83,9258.53
Effective Total Throughput (tokens/sec),4613.23,0.00,85326.62,,,,,,42.74,,13801.33,23477.56,49712.57,9581.64
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,198.02,2.00,3101.00,12871.00,15.44,32.00,40.00,47.00,56.00,92.00,170.20,1411.80,2167.88,494.97
HTTP Chunks Sent,1.00,1.00,1.00,65.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.07,0.00,1.30,4.85,0.00,0.00,0.00,0.00,0.00,0.00,0.41,0.46,0.79,0.21
HTTP Connection Overhead (ms),0.09,0.00,2.18,5.73,0.00,0.00,0.00,0.00,0.00,0.00,0.41,0.46,1.10,0.30
HTTP Connection Reused (ratio),0.86,0.00,1.00,56.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,0.35
HTTP Data Received (KB),51.75,1.29,803.71,3363.80,4.75,8.86,10.84,12.50,14.96,23.81,43.34,370.89,563.38,128.79
HTTP Data Sent (KB),255.25,140.75,858.96,16591.13,140.78,142.44,146.32,155.64,195.75,278.71,403.16,699.77,804.83,158.97
HTTP DNS Lookup (ms),0.01,0.00,0.88,0.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.32,0.11
HTTP Duration (excl. conn) (ms),38083.32,3147.58,566727.43,2475415.79,3457.47,5720.30,6422.56,9448.91,15350.20,27734.27,41487.44,180522.16,393419.71,83568.12
HTTP Receiving (ms),31422.47,53.36,551131.72,2042460.52,1112.51,4024.02,5237.32,6106.81,8052.73,15031.41,33696.27,164156.42,379706.33,81730.54
HTTP Sending (ms),0.32,0.13,4.82,20.69,0.13,0.14,0.15,0.16,0.16,0.21,0.59,0.68,2.68,0.60
HTTP Total Time (ms),38083.41,3147.58,566727.43,2475421.52,3457.47,5720.40,6422.56,9449.32,15350.20,27734.27,41487.60,180522.16,393419.71,83568.13
HTTP Waiting (TTFB) (ms),6660.53,575.46,33426.35,432934.58,626.93,738.02,1044.76,1561.80,3420.53,9764.19,14872.08,21083.54,31753.10,7293.61
Input Sequence Length (tokens),64247.65,35118.00,218533.00,4176097.00,35118.64,35537.20,36467.00,38911.00,49271.00,70241.00,101503.80,177758.00,204716.68,40523.30
Inter Chunk Latency (ms),159.46,0.00,26736.51,2042235.70,58.39,59.36,60.15,98.25,129.98,133.02,136.80,139.63,834.76,542.40
Inter Token Latency (ms),68.01,23.08,207.10,4420.61,24.22,38.82,43.65,50.76,60.65,77.35,100.41,115.19,168.35,28.51
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Output Sequence Length (tokens),440.34,2.00,5422.00,28622.00,48.72,95.20,101.80,112.00,128.00,209.00,433.40,3365.40,4406.96,1006.16
Output Token Count (tokens),440.34,2.00,5422.00,28622.00,48.72,95.20,101.80,112.00,128.00,209.00,433.40,3365.40,4406.96,1006.16
Output Token Throughput Per User (tokens/sec/user),16.92,4.83,43.32,1099.51,6.11,8.69,9.96,12.93,16.49,19.70,22.92,25.76,41.34,6.59
Prefill Throughput Per User (tokens/sec/user),21584.84,1050.59,85297.10,1403014.42,1107.68,3380.69,4302.41,7672.66,14685.98,29055.95,48212.80,54725.86,78763.14,18203.90
Request Latency (ms),38083.40,3147.66,566727.50,2475420.76,3457.54,5720.39,6422.64,9448.97,15350.29,27734.34,41487.52,180522.25,393419.78,83568.12
Time to First Output Token (ms),22037.09,3415.14,46687.51,330556.41,3666.94,4674.15,5263.18,18508.72,22833.30,24092.44,37217.83,43322.34,46014.48,11589.76
Time to First Token (ms),6664.39,575.74,33427.01,433185.05,627.22,738.26,1045.00,1562.01,3420.82,9764.41,14872.36,21083.77,31753.76,7292.47
Time to Second Token (ms),217.51,1.48,4387.92,14138.04,1.52,12.65,65.22,112.98,117.21,121.30,125.51,131.13,3535.87,636.05
Tokens In Flight (tokens),248879.72,0.00,365012.86,,,,,,246033.03,,329033.42,350512.28,364484.18,69987.78
Usage Completion Tokens (tokens),440.34,2.00,5422.00,28622.00,48.72,95.20,101.80,112.00,128.00,209.00,433.40,3365.40,4406.96,1006.16
Usage Prompt Cache Read Tokens (tokens),58907.57,64.00,193408.00,3828992.00,21035.52,35072.00,35072.00,37120.00,46976.00,58304.00,89868.80,170483.20,193408.00,38693.34
Usage Prompt Tokens (tokens),64247.65,35118.00,218533.00,4176097.00,35118.64,35537.20,36467.00,38911.00,49271.00,70241.00,101503.80,177758.00,204716.68,40523.30
Usage Total Tokens (tokens),64687.98,35236.00,222369.00,4204719.00,35238.56,35636.20,36576.00,39023.00,49383.00,73201.00,102906.80,178541.00,207612.52,40979.96

Metric,Value
Benchmark Duration (sec),901.43
Input Token Throughput (tokens/sec),4581.90
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),31.40
Overall Usage Prompt Cache Read % (%),91.69
Request Count,65.00
Request Error Rate (%),0.00
Request Throughput (requests/sec),0.07
Theoretical Prefix Cache Hit (%),94.14
Total Input Sequence Length (tokens),4176097.00
Total Output Sequence Length (tokens),28622.00
Total Output Tokens (tokens),28622.00
