Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),63.80,0.00,5063.69,,,,,,49.33,,139.39,146.55,183.81,36.36
Active Decode Throughput Per User (tokens/sec/user),47.27,0.00,2531.85,,,,,,49.24,,50.82,51.13,53.14,9.82
Active Prefill Throughput (tokens/sec),125440.08,2550.81,545624.98,,,,,,90502.45,,251648.06,339384.30,512182.97,100915.52
Active Prefill Throughput Per User (tokens/sec/user),122090.46,2550.81,545624.98,,,,,,82567.05,,251648.06,339384.30,512182.97,101868.16
Active Total Throughput (tokens/sec),8282.58,31.61,545624.98,,,,,,49.28,,136.82,60050.31,233075.28,40379.14
Credit-to-Start Latency (ms),0.85,0.31,9.82,65.63,0.35,0.39,0.41,0.53,0.62,0.85,1.11,1.43,4.36,1.09
Decode Duration (ms),14433.01,21.42,165562.99,1111341.74,251.77,1376.29,2088.07,2386.92,3052.28,6788.12,47139.16,78287.45,141081.86,31259.67
E2E Output Token Throughput (tokens/sec/user),37.93,2.32,49.56,2920.69,12.59,27.90,30.20,34.52,38.25,42.79,46.73,48.24,49.15,7.59
Effective Concurrency,1.30,0.00,4.00,,,,,,1.00,,3.00,3.00,4.00,0.86
Effective Decode Concurrency,1.23,0.00,4.00,,,,,,1.00,,3.00,3.00,4.00,0.81
Effective Decode Throughput (tokens/sec),57.22,0.00,5063.69,,,,,,49.27,,104.20,145.65,183.51,39.53
Effective Decode Throughput Per User (tokens/sec/user),42.39,0.00,2531.85,,,,,,49.19,,50.63,51.09,52.73,17.12
Effective Latency (CO-aware) (ms),15180.60,538.62,166476.65,1168905.89,783.83,2069.27,2574.56,2812.19,3766.29,7606.07,47876.31,80878.40,141757.98,31413.02
Effective Prefill Concurrency,0.06,0.00,3.00,,,,,,0.00,,0.00,1.00,1.00,0.26
Effective Prefill Throughput (tokens/sec),7504.75,0.00,545624.98,,,,,,0.00,,0.00,51515.55,224335.45,38656.86
Effective Prefill Throughput Per User (tokens/sec/user),7304.35,0.00,545624.98,,,,,,0.00,,0.00,45251.23,224335.45,38200.44
Effective Total Throughput (tokens/sec),7561.97,0.00,545624.98,,,,,,49.28,,135.18,51557.71,224335.45,38653.16
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,669.86,2.00,8160.00,51579.00,14.92,70.00,99.00,111.00,130.00,286.00,2167.80,3709.60,6931.84,1483.31
HTTP Chunks Sent,1.00,1.00,1.00,77.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.10,0.00,2.48,7.37,0.00,0.00,0.00,0.00,0.00,0.00,0.36,0.51,1.67,0.34
HTTP Connection Overhead (ms),0.13,0.00,4.07,9.93,0.00,0.00,0.00,0.00,0.00,0.00,0.36,0.51,2.78,0.54
HTTP Connection Reused (ratio),0.87,0.00,1.00,67.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,0.34
HTTP Data Received (KB),162.20,1.10,1968.91,12489.34,4.22,17.56,24.50,27.40,31.98,69.61,523.52,895.42,1672.66,357.79
HTTP Data Sent (KB),343.14,2.09,956.97,26421.55,105.81,139.74,143.70,160.40,208.17,362.10,900.69,928.84,955.81,277.49
HTTP DNS Lookup (ms),0.03,0.00,1.59,2.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.11,0.21
HTTP Duration (excl. conn) (ms),15179.69,537.72,166475.50,1168835.77,782.91,2067.95,2573.63,2810.74,3765.60,7605.45,47875.14,80870.34,141756.83,31412.71
HTTP Receiving (ms),14433.01,21.41,165563.00,1111341.89,251.77,1376.29,2088.07,2386.92,3052.29,6788.12,47139.17,78287.46,141081.87,31259.67
HTTP Sending (ms),0.24,0.07,2.72,18.25,0.08,0.09,0.09,0.12,0.14,0.15,0.53,0.65,1.88,0.36
HTTP Total Time (ms),15179.81,537.72,166475.50,1168845.69,782.91,2068.27,2573.63,2811.07,3765.60,7605.45,47875.36,80870.34,141759.92,31412.91
HTTP Waiting (TTFB) (ms),746.44,213.11,3181.90,57475.62,245.33,262.62,289.55,369.35,540.49,1029.47,1412.71,1509.94,2947.05,546.79
Input Sequence Length (tokens),87717.83,544.00,244672.00,6754273.00,26795.16,35419.60,36431.60,40926.00,53173.00,92630.00,230123.00,237236.00,244354.32,70979.20
Inter Chunk Latency (ms),21.58,0.20,1412.83,1111341.74,18.42,19.54,19.64,20.09,20.31,20.44,21.25,21.70,22.87,28.41
Inter Token Latency (ms),22.50,18.03,33.17,1732.69,19.24,19.85,20.08,20.38,21.23,23.61,26.14,28.19,33.12,3.05
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Output Sequence Length (tokens),669.86,2.00,8160.00,51579.00,14.92,70.00,99.00,111.00,130.00,286.00,2167.80,3709.60,6931.84,1483.31
Output Token Count (tokens),669.86,2.00,8160.00,51579.00,14.92,70.00,99.00,111.00,130.00,286.00,2167.80,3709.60,6931.84,1483.31
Output Token Throughput Per User (tokens/sec/user),45.13,30.15,55.47,3475.31,30.19,35.48,38.25,42.36,47.10,49.07,49.80,50.37,52.05,5.18
Prefill Throughput Per User (tokens/sec/user),139917.11,2550.81,545624.75,10773617.20,8991.08,33874.21,48452.88,76565.39,110464.82,170587.41,255324.75,350661.50,520209.12,103820.81
Request Latency (ms),15179.74,537.77,166475.56,1168840.26,782.97,2068.02,2573.70,2810.79,3765.67,7605.49,47875.20,80870.42,141756.89,31412.71
Time to First Token (ms),746.73,213.27,3182.45,57498.52,245.53,262.81,289.75,369.50,540.67,1029.70,1412.89,1510.15,2947.44,546.80
Time to Second Token (ms),43.11,15.81,722.53,3319.09,15.86,17.53,18.27,19.24,20.03,21.06,22.73,218.18,470.82,99.84
Tokens In Flight (tokens),203071.15,0.00,344432.00,,,,,,229025.00,,243774.00,272160.00,330213.00,74466.17
Usage Completion Tokens (tokens),669.86,2.00,8160.00,51579.00,14.92,70.00,99.00,111.00,130.00,286.00,2167.80,3709.60,6931.84,1483.31
