Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),40.98,0.00,138.12,,,,,,31.00,,79.61,87.88,93.08,29.99
Active Decode Throughput Per User (tokens/sec/user),20.25,0.00,138.12,,,,,,19.75,,39.92,40.71,41.46,12.29
Active Prefill Throughput (tokens/sec),6043.17,717.73,144335.04,,,,,,2495.01,,16001.89,22704.10,41962.95,12612.79
Active Prefill Throughput Per User (tokens/sec/user),5626.40,717.73,144335.04,,,,,,1310.90,,16001.89,22704.10,41962.95,12747.47
Active Total Throughput (tokens/sec),2113.92,24.66,144335.04,,,,,,64.00,,3880.46,6940.74,38146.52,7933.04
Credit-to-Start Latency (ms),1.08,0.52,4.19,28.09,0.52,0.54,0.55,0.62,0.78,1.18,1.59,2.80,3.94,0.83
Decode Duration (ms),60016.86,344.30,363187.03,1560438.46,466.36,991.61,2496.81,11119.62,18183.71,49421.11,198474.84,285998.72,349870.99,94800.24
E2E Output Token Throughput (tokens/sec/user),14.78,3.77,26.64,384.37,3.82,4.04,5.40,7.92,15.63,19.94,24.28,25.86,26.56,6.95
Effective Concurrency,2.07,0.00,5.00,,,,,,1.00,,4.00,5.00,5.00,1.67
Effective Decode Concurrency,1.66,0.00,5.00,,,,,,1.00,,4.00,4.00,5.00,1.63
Effective Decode Throughput (tokens/sec),28.63,0.00,138.12,,,,,,24.82,,78.35,82.45,91.89,31.33
Effective Decode Throughput Per User (tokens/sec/user),14.15,0.00,138.12,,,,,,18.30,,30.89,40.41,41.30,13.85
Effective Latency (CO-aware) (ms),74883.83,1426.31,411226.46,1946979.64,1480.94,2409.42,5755.84,15375.48,41703.45,71449.06,209652.57,301352.57,390859.02,101345.03
Effective Prefill Concurrency,0.41,0.00,3.00,,,,,,0.00,,1.00,2.00,3.00,0.74
Effective Prefill Throughput (tokens/sec),1755.09,0.00,144335.04,,,,,,0.00,,2587.87,6940.74,34035.83,7329.91
Effective Prefill Throughput Per User (tokens/sec/user),1634.05,0.00,144335.04,,,,,,0.00,,2459.97,6940.74,34035.83,7329.21
Effective Total Throughput (tokens/sec),1783.72,0.00,144335.04,,,,,,46.80,,2587.87,6940.74,34081.84,7327.46
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,412.58,7.00,2368.00,10727.00,7.75,14.00,32.00,84.25,155.00,325.75,1492.50,1708.50,2204.25,611.22
HTTP Chunks Sent,1.00,1.00,1.00,26.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.39,0.00,3.43,10.05,0.00,0.00,0.00,0.00,0.00,0.42,1.34,2.20,3.13,0.84
HTTP Connection Overhead (ms),0.63,0.00,6.36,16.49,0.00,0.00,0.00,0.00,0.00,0.42,2.20,3.97,5.77,1.55
HTTP Connection Reused (ratio),0.69,0.00,1.00,18.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,0.46
HTTP Data Received (KB),108.10,2.58,621.91,2810.59,2.75,4.27,8.76,21.75,40.43,84.74,390.39,449.16,579.45,160.46
HTTP Data Sent (KB),249.52,2.04,667.12,6487.43,2.34,28.45,104.11,181.25,228.74,313.77,404.48,617.69,666.45,157.70
HTTP DNS Lookup (ms),0.25,0.00,2.93,6.45,0.00,0.00,0.00,0.00,0.00,0.00,0.87,1.77,2.64,0.71
HTTP Duration (excl. conn) (ms),74882.68,1422.96,411225.55,1946949.73,1477.36,2405.96,5754.66,15374.58,41702.78,71448.39,209651.72,301351.81,390858.15,101345.21
HTTP Receiving (ms),60016.87,344.32,363187.03,1560438.57,466.38,991.62,2496.81,11119.62,18183.72,49421.11,198474.85,285998.73,349870.99,94800.24
HTTP Sending (ms),0.56,0.13,3.77,14.52,0.13,0.13,0.13,0.14,0.17,0.60,1.53,2.39,3.43,0.88
HTTP Total Time (ms),74883.32,1429.32,411225.55,1946966.23,1483.13,2409.06,5755.11,15374.58,41702.78,71448.39,209651.72,301351.81,390858.15,101344.85
HTTP Waiting (TTFB) (ms),14865.26,805.65,53824.43,386496.64,872.95,1100.32,1181.32,3069.45,5352.66,22925.22,40657.03,46302.16,52377.90,16373.86
Input Sequence Length (tokens),63453.46,580.00,169944.00,1649790.00,644.25,7235.00,26460.50,46360.50,58092.50,79604.50,102740.00,157253.50,169775.50,40132.64
Inter Chunk Latency (ms),145.79,0.00,48618.05,1560438.46,57.88,58.91,59.96,94.66,130.01,133.30,139.44,142.62,156.58,818.78
Inter Token Latency (ms),52.62,15.65,109.82,1368.20,18.94,29.60,32.78,36.57,40.51,60.97,92.10,103.29,108.60,24.35
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Output Sequence Length (tokens),1035.92,23.00,5685.00,26934.00,23.25,31.00,73.00,208.00,382.00,784.00,3577.00,4649.25,5493.00,1528.85
Output Token Count (tokens),1035.92,23.00,5685.00,26934.00,23.25,31.00,73.00,208.00,382.00,784.00,3577.00,4649.25,5493.00,1528.85
Output Token Throughput Per User (tokens/sec/user),23.12,9.11,63.90,601.05,9.21,9.69,10.91,16.40,24.68,27.35,30.52,33.86,56.60,10.83
Prefill Throughput Per User (tokens/sec/user),18638.07,658.71,144335.04,484589.94,673.46,732.26,781.97,1183.54,5957.19,21753.35,40031.73,61773.11,125345.40,29985.94
Request Latency (ms),74882.75,1423.12,411225.63,1946951.55,1477.50,2406.04,5754.73,15374.65,41702.84,71448.44,209651.79,301351.88,390858.23,101345.21
Time to First Output Token (ms),34789.95,7564.79,116669.78,487059.34,7996.24,9722.05,11104.14,14191.84,22172.02,35490.25,84172.19,100606.08,113457.04,32085.04
