Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),54.58,0.00,143779.09,,,,,,61.89,,114.84,122.13,170.01,238.69
Active Decode Throughput Per User (tokens/sec/user),45.33,0.00,83718.72,,,,,,57.80,,68.46,73.78,131.18,189.16
Active Prefill Throughput (tokens/sec),12014.13,10177.44,21868.41,,,,,,12077.29,,12725.30,12824.23,12931.99,1024.36
Active Prefill Throughput Per User (tokens/sec/user),11938.64,10177.44,12931.99,,,,,,12077.29,,12725.30,12824.23,12931.99,617.43
Active Total Throughput (tokens/sec),5301.68,36.64,21868.41,,,,,,84.14,,12463.27,12607.25,12931.99,5974.06
Credit-to-Start Latency (ms),0.69,0.00,5.32,24.22,0.00,0.00,0.00,0.00,0.00,0.68,1.96,4.30,5.31,1.40
Decode Duration (ms),16543.01,17.83,110381.70,579005.43,145.58,1259.35,1860.19,3190.78,10183.77,15888.19,47204.75,53183.93,93743.87,22453.60
E2E Output Token Throughput (tokens/sec/user),23.17,0.81,43.45,810.90,0.90,4.18,7.25,16.82,22.74,32.21,36.70,39.48,42.31,11.09
Effective Concurrency,0.99,0.00,2.00,,,,,,1.00,,2.00,2.00,2.00,0.58
Effective Decode Concurrency,0.62,0.00,2.00,,,,,,1.00,,1.00,2.00,2.00,0.66
Effective Decode Throughput (tokens/sec),28.55,0.00,143779.09,,,,,,0.23,,70.41,115.50,136.12,174.77
Effective Decode Throughput Per User (tokens/sec/user),23.71,0.00,83718.72,,,,,,0.23,,65.74,68.68,95.83,138.67
Effective Latency (CO-aware) (ms),26178.14,8085.85,118555.21,916235.03,8313.53,9034.64,10278.00,12289.10,16647.90,26679.23,58504.19,68394.20,104045.86,23285.40
Effective Prefill Concurrency,0.36,0.00,2.00,,,,,,0.00,,1.00,1.00,1.00,0.49
Effective Prefill Throughput (tokens/sec),4347.00,0.00,21868.41,,,,,,0.00,,12296.08,12607.25,12931.99,5805.92
Effective Prefill Throughput Per User (tokens/sec/user),4319.69,0.00,12931.99,,,,,,0.00,,12296.08,12607.25,12931.99,5748.86
Effective Total Throughput (tokens/sec),4375.55,0.00,21868.41,,,,,,52.22,,12296.08,12607.25,12931.99,5788.55
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,606.40,3.00,3288.00,21224.00,6.74,50.40,72.40,132.00,415.00,500.50,1748.80,2048.40,2975.54,748.61
HTTP Chunks Sent,1.00,1.00,1.00,35.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.40,0.00,1.49,14.00,0.00,0.00,0.00,0.00,0.00,0.85,1.18,1.33,1.46,0.51
HTTP Connection Overhead (ms),0.40,0.00,1.49,14.00,0.00,0.00,0.00,0.00,0.00,0.85,1.18,1.33,1.46,0.51
HTTP Connection Reused (ratio),0.57,0.00,1.00,20.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,0.49
HTTP Data Received (KB),183.83,2.79,976.32,6433.89,3.37,15.96,24.02,40.54,126.29,151.50,535.39,622.06,884.06,224.39
HTTP Data Sent (KB),451.65,258.03,661.65,15807.69,260.27,268.41,278.34,304.47,436.97,582.38,643.93,649.04,658.73,141.11
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),26222.55,8160.89,118635.85,917789.25,8389.21,9111.46,10346.64,12322.16,16656.96,26748.81,58546.03,68470.06,104126.00,23290.38
HTTP Receiving (ms),16543.03,17.85,110381.73,579006.00,145.60,1259.37,1860.19,3190.79,10183.79,15888.20,47204.76,53183.98,93743.91,22453.60
HTTP Sending (ms),0.72,0.11,2.22,25.24,0.11,0.11,0.14,0.18,0.49,1.12,1.73,1.90,2.16,0.63
HTTP Total Time (ms),26222.95,8161.55,118636.81,917803.25,8389.65,9111.77,10347.26,12322.16,16656.96,26749.46,58546.27,68471.15,104126.93,23290.49
HTTP Waiting (TTFB) (ms),9678.80,6079.94,15615.62,338758.01,6101.59,6166.20,6217.50,6692.16,9225.83,12018.20,13514.30,14521.24,15251.24,2918.11
Input Sequence Length (tokens),115495.49,65823.00,169520.00,4042342.00,66376.86,68416.60,71003.00,77782.50,111432.00,149079.50,165048.80,166345.40,168768.60,36221.12
Inter Chunk Latency (ms),21.81,0.00,5539.80,579005.43,0.00,0.00,0.00,0.36,19.20,20.46,22.84,32.97,166.62,100.90
Inter Token Latency (ms),20.28,2.23,45.29,709.88,7.73,18.43,18.94,19.23,19.47,19.66,24.16,26.67,39.17,5.61
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Output Sequence Length (tokens),759.51,9.00,4045.00,26583.00,11.38,63.60,97.00,165.50,521.00,625.50,2217.00,2576.30,3662.50,930.28
Output Token Count (tokens),759.51,9.00,4045.00,26583.00,11.38,63.60,97.00,165.50,521.00,625.50,2217.00,2576.30,3662.50,930.28
Output Token Throughput Per User (tokens/sec/user),60.84,22.08,448.72,2129.55,27.03,37.50,41.87,50.87,51.36,52.00,52.79,54.25,314.63,66.81
Prefill Throughput Per User (tokens/sec/user),11877.44,10177.44,12931.99,415710.36,10313.41,10610.37,11066.48,11608.63,11934.67,12284.00,12568.57,12754.98,12895.35,630.83
Request Latency (ms),26222.69,8161.03,118635.93,917794.10,8389.33,9111.52,10346.90,12322.27,16657.03,26748.99,58546.12,68470.35,104126.12,23290.38
Time to First Token (ms),9679.68,6080.32,15617.84,338788.68,6101.92,6166.42,6218.94,6692.65,9226.57,12018.66,13516.43,14522.51,15252.89,2918.24
Time to Second Token (ms),123.34,0.00,3283.89,4316.95,0.00,0.00,0.00,1.73,17.56,19.82,160.62,167.94,2225.21,544.22
Tokens In Flight (tokens),124240.67,0.00,271312.00,,,,,,129832.00,,247677.00,268295.00,270776.00,79550.84
Usage Completion Tokens (tokens),759.51,9.00,4045.00,26583.00,11.38,63.60,97.00,165.50,521.00,625.50,2217.00,2576.30,3662.50,930.28
Usage Prompt Tokens (tokens),115495.49,65823.00,169520.00,4042342.00,66376.86,68416.60,71003.00,77782.50,111432.00,149079.50,165048.80,166345.40,168768.60,36221.12
Usage Total Tokens (tokens),116255.00,66006.00,170230.00,4068925.00,66581.28,68562.50,71233.40,78375.50,111805.00,149579.50,166092.20,168329.90,169994.04,36453.22

Metric,Value
Benchmark Duration (sec),908.06
Input Token Throughput (tokens/sec),4347.00
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),28.59
Request Count,35.00
Request Error Rate (%),0.00
Request Throughput (requests/sec),0.04
Theoretical Prefix Cache Hit (%),97.10
Total Input Sequence Length (tokens),4042342.00
Total Output Sequence Length (tokens),26583.00
Total Output Tokens (tokens),26583.00
Total Token Throughput (tokens/sec),4375.59
Total Usage Completion Tokens (tokens),26583.00
Total Usage Prompt Tokens (tokens),4042342.00
Total Usage Total Tokens (tokens),4068925.00


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Platform,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
