Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),32.48,0.00,1007.56,,,,,,41.78,,63.43,72.86,77.53,27.17
Active Decode Throughput Per User (tokens/sec/user),12.98,0.00,326.89,,,,,,17.50,,26.13,32.64,33.68,10.99
Active Prefill Throughput (tokens/sec),12606.86,906.07,69509.04,,,,,,8836.35,,27183.07,39689.40,59761.65,11632.39
Active Prefill Throughput Per User (tokens/sec/user),10883.62,906.07,69509.04,,,,,,7983.93,,25285.96,39689.40,59761.65,11759.37
Active Total Throughput (tokens/sec),5151.01,9.60,69520.17,,,,,,49.42,,16323.92,23076.03,51567.00,9651.14
Credit-to-Start Latency (ms),0.72,0.35,2.12,45.90,0.37,0.50,0.54,0.57,0.63,0.69,0.92,1.64,2.08,0.34
Decode Duration (ms),28438.41,56.31,486941.93,1820058.27,1404.75,4197.37,5069.57,6319.26,8421.99,15654.40,30409.63,150377.07,335458.87,72717.68
E2E Output Token Throughput (tokens/sec/user),10.39,0.52,21.45,664.74,1.89,3.47,5.56,7.61,10.45,13.01,15.56,16.11,20.76,4.04
Effective Concurrency,2.44,0.00,4.00,,,,,,3.00,,4.00,4.00,4.00,1.36
Effective Decode Concurrency,1.96,0.00,4.00,,,,,,2.00,,3.00,4.00,4.00,1.23
Effective Decode Throughput (tokens/sec),26.58,0.00,1007.56,,,,,,8.75,,58.54,72.03,77.05,27.59
Effective Decode Throughput Per User (tokens/sec/user),10.62,0.00,326.89,,,,,,5.95,,23.11,32.43,33.54,11.13
Effective Latency (CO-aware) (ms),35480.77,3851.12,506308.42,2270769.17,4627.30,6570.68,7098.47,9555.63,15441.63,27651.38,45086.15,162459.99,344701.35,74673.31
Effective Prefill Concurrency,0.48,0.00,3.00,,,,,,0.00,,2.00,2.00,3.00,0.78
Effective Prefill Throughput (tokens/sec),4255.37,0.00,69509.04,,,,,,0.00,,13826.55,19937.82,47914.89,9011.80
Effective Prefill Throughput Per User (tokens/sec/user),3673.70,0.00,69509.04,,,,,,0.00,,10032.53,18710.54,47914.89,8553.57
Effective Total Throughput (tokens/sec),4281.95,0.00,69520.17,,,,,,49.08,,13848.29,19961.24,47942.36,9008.37
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,166.89,2.00,2652.00,10681.00,19.01,34.30,39.00,46.75,56.50,81.25,149.90,797.90,2124.69,419.68
HTTP Chunks Sent,1.00,1.00,1.00,64.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.07,0.00,1.34,4.74,0.00,0.00,0.00,0.00,0.00,0.00,0.40,0.43,0.81,0.21
HTTP Connection Overhead (ms),0.09,0.00,2.33,5.72,0.00,0.00,0.00,0.00,0.00,0.00,0.40,0.43,1.17,0.32
HTTP Connection Reused (ratio),0.86,0.00,1.00,55.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,0.35
HTTP Data Received (KB),43.71,1.29,689.70,2797.20,5.62,9.79,10.55,12.44,14.80,21.42,38.77,209.41,553.48,109.43
HTTP Data Sent (KB),245.82,140.75,774.38,15732.17,140.78,142.42,146.32,155.37,195.47,276.87,386.05,450.74,771.07,141.01
HTTP DNS Lookup (ms),0.02,0.00,0.99,0.99,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.37,0.12
HTTP Duration (excl. conn) (ms),35479.99,3849.92,506307.68,2270719.49,4626.50,6569.97,7097.02,9554.99,15440.96,27650.70,45085.07,162459.08,344700.30,74673.27
HTTP Receiving (ms),28440.24,56.31,486941.94,1820175.56,1404.75,4197.37,5069.57,6319.26,8421.99,15654.40,30409.63,150377.10,335458.87,72717.19
HTTP Sending (ms),0.21,0.10,1.44,13.44,0.10,0.12,0.12,0.13,0.13,0.14,0.53,0.62,1.01,0.22
HTTP Total Time (ms),35480.08,3849.92,506307.68,2270725.22,4626.50,6569.97,7097.36,9554.99,15440.96,27650.70,45085.20,162459.08,344700.60,74673.28
HTTP Waiting (TTFB) (ms),7039.54,665.74,38756.99,450530.49,691.29,819.17,1276.21,1988.47,3944.36,9193.21,13791.82,19340.14,37109.93,7855.49
Input Sequence Length (tokens),61835.94,35117.00,196944.00,3957500.00,35117.63,35536.15,36466.00,38850.75,49189.00,69620.50,96954.50,113444.55,196115.55,35917.24
Inter Chunk Latency (ms),171.33,0.00,29385.14,1820058.27,59.45,60.89,64.44,120.33,130.65,133.52,136.47,138.92,1357.16,611.78
Inter Token Latency (ms),68.36,29.69,202.42,4374.96,35.18,40.65,46.60,54.02,60.87,72.57,101.11,109.13,170.35,26.73
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Output Sequence Length (tokens),387.28,2.00,5422.00,24786.00,47.99,95.15,101.60,111.75,127.00,181.25,383.00,2082.75,4323.28,919.34
Output Token Count (tokens),387.28,2.00,5422.00,24786.00,47.99,95.15,101.60,111.75,127.00,181.25,383.00,2082.75,4323.28,919.34
Output Token Throughput Per User (tokens/sec/user),16.21,4.94,33.69,1037.73,5.99,9.17,9.90,13.78,16.43,18.51,21.48,24.64,28.87,4.76
Prefill Throughput Per User (tokens/sec/user),19075.86,906.07,69509.03,1220855.06,947.39,3138.56,3824.43,7299.49,11813.52,27138.77,43261.88,53174.67,66534.82,16398.08
Request Latency (ms),35480.05,3850.00,506307.74,2270723.27,4626.56,6570.05,7097.10,9555.04,15441.02,27650.77,45085.13,162459.14,344700.37,74673.27
