Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),51.39,0.00,66240.68,,,,,,61.53,,68.50,75.67,134.86,230.66
Active Decode Throughput Per User (tokens/sec/user),51.39,0.00,66240.68,,,,,,61.53,,68.50,75.67,134.86,230.66
Active Prefill Throughput (tokens/sec),12511.12,10819.09,12934.45,,,,,,12634.10,,12913.47,12934.45,12934.45,409.47
Active Prefill Throughput Per User (tokens/sec/user),12511.12,10819.09,12934.45,,,,,,12634.10,,12913.47,12934.45,12934.45,409.47
Active Total Throughput (tokens/sec),5344.90,0.00,12934.45,,,,,,51.88,,12736.35,12834.33,12934.45,6164.97
Decode Duration (error-adjusted) (ms),,156.66,,,2408.40,11489.86,,,,,,,,
Inter Token Latency (error-adjusted) (ms),,18.89,,,19.19,19.54,,,,,,,,
Request Latency (error-adjusted) (ms),,9599.56,,,11441.72,21140.94,,,,,,,,
Time to First Token (error-adjusted) (ms),,6084.15,,,8540.06,10787.16,,,,,,,,
Credit-to-Start Latency (ms),7.54,1.92,17.95,1704.18,2.31,4.38,5.82,6.75,7.30,7.95,9.75,11.67,15.79,2.14
Decode Duration (ms),13935.75,156.66,47442.06,264779.28,452.88,1637.73,2287.18,3420.43,10200.66,15959.30,39141.98,46865.18,47326.68,14416.70
E2E Output Token Throughput (tokens/sec/user),23.50,0.81,43.98,446.44,1.79,5.69,8.54,15.81,22.98,30.68,39.91,40.50,43.28,11.61
Effective Concurrency,0.50,0.00,1.00,,,,,,0.00,,1.00,1.00,1.00,0.50
Effective Decode Concurrency,0.28,0.00,1.00,,,,,,0.00,,1.00,1.00,1.00,0.45
Effective Decode Throughput (tokens/sec),14.63,0.00,66240.68,,,,,,0.00,,63.56,65.79,80.77,125.24
Effective Decode Throughput Per User (tokens/sec/user),14.63,0.00,66240.68,,,,,,0.00,,63.56,65.79,80.77,125.24
Effective Latency (CO-aware) (ms),2051.42,5.32,60302.60,463620.90,5.75,6.59,7.00,7.63,8.53,9.73,18.95,15650.48,45411.29,7999.16
Effective Prefill Concurrency,0.21,0.00,1.00,,,,,,0.00,,1.00,1.00,1.00,0.41
Effective Prefill Throughput (tokens/sec),2640.07,0.00,12934.45,,,,,,0.00,,12634.10,12736.35,12934.45,5108.39
Effective Prefill Throughput Per User (tokens/sec/user),2640.07,0.00,12934.45,,,,,,0.00,,12634.10,12736.35,12934.45,5108.39
Effective Total Throughput (tokens/sec),2654.70,0.00,12934.45,,,,,,0.00,,12634.10,12736.35,12934.45,5100.87
