Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),61.61,0.00,375.95,,,,,,51.38,,101.28,147.10,194.77,34.80
Active Decode Throughput Per User (tokens/sec/user),50.26,0.00,187.97,,,,,,51.28,,51.98,52.15,54.17,6.68
Active Prefill Throughput (tokens/sec),102269.83,3520.27,360699.87,,,,,,68721.39,,220287.71,285592.16,352034.36,89050.12
Active Prefill Throughput Per User (tokens/sec/user),101220.38,3520.27,360699.87,,,,,,68721.39,,220287.71,285592.16,352034.36,89980.14
Active Total Throughput (tokens/sec),6034.80,41.49,360699.87,,,,,,51.32,,140.84,13442.06,184971.89,32220.42
Credit-to-Start Latency (ms),1.04,0.56,6.65,51.89,0.57,0.61,0.63,0.67,0.76,0.83,1.32,1.46,6.60,1.15
Decode Duration (ms),18324.12,414.69,78796.12,916205.86,700.74,1647.59,2737.29,4681.04,11062.49,17886.38,57106.54,72398.51,76067.56,21683.62
E2E Output Token Throughput (tokens/sec/user),45.69,26.21,50.77,2284.46,28.65,35.78,38.91,43.00,47.58,49.60,50.27,50.49,50.73,5.27
Effective Concurrency,1.04,0.00,4.00,,,,,,1.00,,1.00,3.00,4.00,0.85
Effective Decode Concurrency,0.99,0.00,4.00,,,,,,1.00,,1.00,3.00,4.00,0.83
Effective Decode Throughput (tokens/sec),48.45,0.00,375.95,,,,,,51.24,,52.35,145.35,194.31,39.87
Effective Decode Throughput Per User (tokens/sec/user),39.52,0.00,187.97,,,,,,51.15,,51.91,52.10,53.22,21.43
Effective Latency (CO-aware) (ms),19279.01,631.73,80216.79,963950.44,976.64,2105.97,3172.37,5221.48,11715.32,18534.58,60364.15,73325.26,78548.97,22077.96
Effective Prefill Concurrency,0.05,0.00,2.00,,,,,,0.00,,0.00,0.00,1.00,0.24
Effective Prefill Throughput (tokens/sec),4903.32,0.00,360699.87,,,,,,0.00,,0.00,0.00,175308.39,29285.13
Effective Prefill Throughput Per User (tokens/sec/user),4853.00,0.00,360699.87,,,,,,0.00,,0.00,0.00,175308.39,29254.98
Effective Total Throughput (tokens/sec),4951.77,0.00,360699.87,,,,,,51.25,,140.84,182.33,175308.39,29278.09
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
