Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),27.95,0.00,28187.79,,,,,,28.70,,50.43,52.98,56.98,20.98
Active Decode Throughput Per User (tokens/sec/user),25.00,0.00,28187.79,,,,,,27.46,,49.80,50.36,51.02,19.65
Active Prefill Throughput (tokens/sec),5280.61,430.97,128594.14,,,,,,2577.92,,14622.22,21088.32,38133.74,9998.68
Active Prefill Throughput Per User (tokens/sec/user),4997.99,430.97,128594.14,,,,,,2577.92,,14622.22,18492.50,38133.74,9799.11
Active Total Throughput (tokens/sec),2485.37,6.02,128594.14,,,,,,65.00,,5949.16,14641.65,32617.70,7319.11
Credit-to-Start Latency (ms),1.03,0.49,4.25,35.03,0.49,0.49,0.50,0.54,0.64,0.98,2.17,2.88,3.85,0.86
Decode Duration (ms),18789.06,472.09,107717.63,638828.12,644.55,1797.74,2296.51,4691.65,7303.19,19971.66,52712.02,84179.08,102752.84,26427.33
E2E Output Token Throughput (tokens/sec/user),13.18,1.34,41.41,448.27,1.34,2.09,4.76,6.22,12.77,15.69,25.01,30.00,38.66,8.85
Effective Concurrency,1.12,0.00,2.00,,,,,,1.00,,2.00,2.00,2.00,0.58
Effective Decode Concurrency,0.69,0.00,2.00,,,,,,1.00,,1.00,2.00,2.00,0.61
Effective Decode Throughput (tokens/sec),16.98,0.00,28187.79,,,,,,0.58,,49.70,50.69,56.46,21.30
Effective Decode Throughput Per User (tokens/sec/user),15.18,0.00,28187.79,,,,,,0.58,,44.21,50.00,50.88,19.58
Effective Latency (CO-aware) (ms),30710.20,3552.67,153599.33,1044146.81,3690.89,3999.95,6096.00,7682.93,14281.84,36818.94,66523.24,130650.62,153422.53,38565.75
Effective Prefill Concurrency,0.44,0.00,2.00,,,,,,0.00,,1.00,1.00,2.00,0.54
Effective Prefill Throughput (tokens/sec),2189.25,0.00,128594.14,,,,,,0.00,,3132.88,14622.22,32617.70,6943.72
Effective Prefill Throughput Per User (tokens/sec/user),2072.09,0.00,128594.14,,,,,,0.00,,3132.88,11021.11,32617.70,6772.90
Effective Total Throughput (tokens/sec),2206.23,0.00,128594.14,,,,,,45.57,,3138.90,14641.65,32617.70,6940.37
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,206.00,6.00,1661.00,7004.00,9.96,18.00,18.90,32.25,46.00,158.50,320.80,1350.05,1627.67,410.15
HTTP Chunks Sent,1.00,1.00,1.00,34.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.25,0.00,2.33,8.42,0.00,0.00,0.00,0.00,0.00,0.40,0.60,1.43,2.04,0.51
HTTP Connection Overhead (ms),0.36,0.00,4.28,12.38,0.00,0.00,0.00,0.00,0.00,0.40,0.60,2.43,3.68,0.89
HTTP Connection Reused (ratio),0.71,0.00,1.00,24.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,0.46
HTTP Data Received (KB),53.73,2.34,434.68,1826.84,3.33,5.36,5.63,8.87,12.26,40.18,83.00,349.90,424.62,106.61
HTTP Data Sent (KB),235.03,15.08,667.12,7991.06,32.37,67.73,68.82,73.54,132.87,310.24,636.50,646.33,666.24,222.92
