Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),24.40,0.00,1706.50,,,,,,13.54,,62.41,69.40,93.24,27.35
Active Decode Throughput Per User (tokens/sec/user),11.31,0.00,284.42,,,,,,13.29,,24.64,41.71,45.20,12.42
Active Prefill Throughput (tokens/sec),8523.10,542.38,77592.97,,,,,,3174.86,,22752.38,30546.58,49051.70,11378.24
Active Prefill Throughput Per User (tokens/sec/user),6527.42,542.38,77592.97,,,,,,2490.87,,18277.16,27140.58,45549.43,9877.59
Active Total Throughput (tokens/sec),4272.77,7.58,77625.22,,,,,,58.78,,15141.44,22404.15,45578.61,9092.38
Credit-to-Start Latency (ms),0.87,0.45,3.14,64.40,0.52,0.58,0.60,0.67,0.73,0.86,1.26,1.46,2.83,0.45
Decode Duration (ms),28323.47,806.30,436555.04,2095936.92,1412.80,3771.01,4972.18,6734.76,10056.23,16749.29,59088.75,88958.89,377324.12,65238.09
E2E Output Token Throughput (tokens/sec/user),10.26,1.44,36.14,759.04,1.57,2.22,3.23,5.74,10.05,12.44,16.39,18.39,35.29,6.74
Effective Concurrency,2.93,0.00,7.00,,,,,,3.00,,5.00,6.00,7.00,1.77
Effective Decode Concurrency,2.23,0.00,7.00,,,,,,2.00,,4.00,5.00,6.00,1.47
Effective Decode Throughput (tokens/sec),21.16,0.00,1706.50,,,,,,2.62,,58.74,68.49,88.50,26.78
Effective Decode Throughput Per User (tokens/sec/user),9.81,0.00,284.42,,,,,,1.26,,22.48,40.90,45.12,12.19
Effective Latency (CO-aware) (ms),37248.96,2354.46,489934.16,2756423.03,2978.45,5993.06,6815.59,10548.18,16448.59,28935.49,74559.16,104860.35,399581.21,71099.43
Effective Prefill Concurrency,0.70,0.00,4.00,,,,,,0.00,,2.00,2.00,3.00,0.87
Effective Prefill Throughput (tokens/sec),4063.30,0.00,77592.97,,,,,,0.00,,13742.40,22404.15,45483.59,8935.45
Effective Prefill Throughput Per User (tokens/sec/user),3111.88,0.00,77592.97,,,,,,0.00,,8467.37,16570.20,34805.08,7559.28
Effective Total Throughput (tokens/sec),4084.47,0.00,77625.22,,,,,,51.28,,13769.73,22404.15,45491.16,8932.93
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,118.97,7.00,1698.00,8804.00,16.49,28.00,37.30,42.25,58.00,86.75,201.10,311.40,1395.78,241.54
HTTP Chunks Sent,1.00,1.00,1.00,74.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.21,0.00,3.08,15.31,0.00,0.00,0.00,0.00,0.00,0.00,0.47,1.19,2.63,0.59
HTTP Connection Overhead (ms),0.32,0.00,5.67,23.87,0.00,0.00,0.00,0.00,0.00,0.00,0.47,1.87,4.81,1.07
HTTP Connection Reused (ratio),0.80,0.00,1.00,59.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,0.40
HTTP Data Received (KB),31.01,2.59,440.07,2294.75,4.94,7.80,10.07,11.43,15.19,22.33,50.86,80.38,361.17,62.46
HTTP Data Sent (KB),201.90,3.25,667.12,14940.87,50.15,69.06,72.94,116.64,209.51,249.59,291.86,307.17,665.18,113.47
HTTP DNS Lookup (ms),0.12,0.00,2.59,8.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.67,2.18,0.49
HTTP Duration (excl. conn) (ms),37248.01,2351.26,489933.41,2756353.09,2977.06,5992.33,6814.82,10547.21,16447.83,28934.71,74558.10,104859.32,399580.31,71099.43
HTTP Receiving (ms),28323.47,806.30,436555.04,2095937.08,1412.80,3771.01,4972.18,6734.76,10056.24,16749.29,59088.75,88958.89,377324.13,65238.09
HTTP Sending (ms),0.37,0.10,3.40,27.68,0.12,0.14,0.15,0.15,0.16,0.18,0.66,1.39,2.85,0.61
HTTP Total Time (ms),37248.34,2355.72,489933.41,2756376.96,2978.26,5992.33,6814.82,10547.21,16447.83,28934.71,74559.68,104859.45,399580.31,71099.45
HTTP Waiting (TTFB) (ms),8924.17,561.03,53378.22,660388.34,610.06,819.06,1019.82,1962.63,4265.11,10352.49,27442.67,29821.51,47994.94,10943.68
Input Sequence Length (tokens),51614.97,838.00,169942.00,3819508.00,13022.43,17989.30,18937.20,30095.25,53465.00,63792.50,74632.40,78657.50,169449.98,28857.98
Inter Chunk Latency (ms),240.03,0.00,69671.21,2095936.92,57.78,58.86,60.03,120.97,132.76,141.83,150.58,158.78,2730.54,1631.36
Inter Token Latency (ms),104.09,21.93,677.75,7702.77,22.38,24.64,40.27,53.56,66.50,117.19,186.60,256.93,621.17,111.99
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
