Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),58.99,0.00,25962.61,,,,,,45.03,,116.78,119.50,154.67,45.89
Active Decode Throughput Per User (tokens/sec/user),39.72,0.00,14523.77,,,,,,44.65,,46.07,52.24,52.67,22.05
Active Prefill Throughput (tokens/sec),82090.98,12672.03,234593.65,,,,,,67989.49,,155340.91,196069.34,234593.65,50068.34
Active Prefill Throughput Per User (tokens/sec/user),79817.21,12672.03,234593.65,,,,,,67989.49,,155340.91,196069.34,234593.65,49670.09
Active Total Throughput (tokens/sec),7896.21,29.35,234593.65,,,,,,44.34,,125.87,67989.49,155340.91,28654.23
Credit-to-Start Latency (ms),1.00,0.50,8.80,71.90,0.56,0.62,0.68,0.72,0.81,0.91,1.27,1.54,4.48,0.98
Decode Duration (ms),15788.02,30.10,184009.88,1136737.59,497.85,2187.01,2808.67,3043.88,4144.17,7556.80,42993.98,85661.83,172628.08,34348.30
E2E Output Token Throughput (tokens/sec/user),28.96,1.99,44.00,2085.00,8.12,19.52,20.60,25.31,29.44,32.28,36.80,42.06,43.42,7.03
Effective Concurrency,1.30,0.00,4.00,,,,,,1.00,,3.00,3.00,4.00,1.07
Effective Decode Concurrency,1.22,0.00,4.00,,,,,,1.00,,3.00,3.00,4.00,1.01
Effective Decode Throughput (tokens/sec),45.71,0.00,25962.61,,,,,,44.82,,113.33,118.65,150.55,47.32
Effective Decode Throughput Per User (tokens/sec/user),30.78,0.00,14523.77,,,,,,40.96,,45.51,46.83,52.57,25.53
Effective Latency (CO-aware) (ms),16813.46,1003.49,185450.69,1210568.78,1949.23,3029.34,3283.51,3755.26,5178.57,8625.65,44092.67,88307.88,174521.97,34628.58
Effective Prefill Concurrency,0.08,0.00,2.00,,,,,,0.00,,0.00,1.00,1.00,0.28
Effective Prefill Throughput (tokens/sec),6223.84,0.00,234593.65,,,,,,0.00,,0.00,52859.44,137862.90,25734.11
Effective Prefill Throughput Per User (tokens/sec/user),6051.45,0.00,234593.65,,,,,,0.00,,0.00,50734.39,137862.90,25168.19
Effective Total Throughput (tokens/sec),6269.55,0.00,234593.65,,,,,,44.34,,109.18,52926.07,137862.90,25731.68
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,574.78,2.00,8090.00,41384.00,22.59,84.35,96.50,111.75,127.50,276.00,1600.40,3619.50,6179.39,1331.07
HTTP Chunks Sent,1.00,1.00,1.00,72.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.08,0.00,2.56,5.95,0.00,0.00,0.00,0.00,0.00,0.00,0.38,0.42,1.11,0.32
HTTP Connection Overhead (ms),0.11,0.00,4.63,8.02,0.00,0.00,0.00,0.00,0.00,0.00,0.38,0.42,1.71,0.55
HTTP Connection Reused (ratio),0.88,0.00,1.00,63.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,0.33
HTTP Data Received (KB),145.78,1.27,2065.92,10496.31,6.25,21.36,24.39,27.86,31.68,68.25,411.34,923.88,1571.23,339.66
HTTP Data Sent (KB),318.46,140.75,933.18,22929.24,140.78,142.57,146.38,162.70,209.78,356.35,850.50,905.03,931.29,244.89
HTTP DNS Lookup (ms),0.03,0.00,2.07,2.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.60,0.24
HTTP Duration (excl. conn) (ms),16812.38,1002.54,185449.58,1210491.45,1948.19,3028.54,3282.80,3754.39,5177.68,8624.78,44091.57,88303.28,174521.03,34628.33
HTTP Receiving (ms),15791.84,30.10,184009.88,1137012.83,497.85,2187.01,2808.67,3153.63,4144.17,7556.80,42993.97,85661.84,172628.08,34350.52
HTTP Sending (ms),0.26,0.14,2.81,18.63,0.14,0.15,0.16,0.17,0.18,0.20,0.52,0.59,1.28,0.33
HTTP Total Time (ms),16812.49,1002.54,185449.58,1210499.47,1948.19,3028.54,3282.80,3754.39,5177.68,8624.78,44091.57,88303.28,174521.03,34628.32
HTTP Waiting (TTFB) (ms),1020.28,284.01,3213.94,73459.98,288.56,303.05,328.99,403.85,804.18,1492.80,1925.95,2198.08,2899.26,684.39
Input Sequence Length (tokens),80391.40,35118.00,237264.00,5788181.00,35118.71,35537.55,36483.20,40746.25,52706.50,89655.50,216374.20,230222.50,236785.46,62496.18
Inter Chunk Latency (ms),27.52,0.05,3454.78,1136737.59,21.69,21.93,22.44,22.52,24.35,25.88,27.67,28.50,90.23,56.98
Inter Token Latency (ms),29.61,22.55,45.66,2132.09,22.56,22.61,22.97,25.71,28.23,31.96,37.26,42.85,45.64,5.71
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Output Sequence Length (tokens),591.39,2.00,8160.00,42580.00,22.59,85.45,101.00,111.75,129.50,279.50,1883.60,3643.35,6216.02,1353.70
Output Token Count (tokens),591.39,2.00,8160.00,42580.00,22.59,85.45,101.00,111.75,129.50,279.50,1883.60,3643.35,6216.02,1353.70
Output Token Throughput Per User (tokens/sec/user),34.87,21.90,44.34,2510.85,21.91,23.35,26.85,31.29,35.43,38.89,43.54,44.22,44.33,5.87
Prefill Throughput Per User (tokens/sec/user),91574.71,12672.03,234593.64,6593379.27,23479.59,33336.86,39359.42,53521.99,88259.66,116680.49,155292.26,189319.98,216953.88,46942.62
Request Latency (ms),16810.85,1002.60,185449.65,1210381.01,1948.25,3028.61,3282.87,3754.46,5177.76,8624.85,44091.65,88303.36,174521.11,34625.31
Time to First Output Token (ms),7518.01,888.20,15556.25,180432.35,931.49,1101.06,1791.09,4342.38,7678.49,9644.89,12669.88,13877.70,15215.30,3992.69
Time to First Token (ms),1022.83,284.25,3214.22,73643.42,288.81,303.31,329.26,404.17,853.03,1493.03,1926.21,2198.32,2899.75,683.72
Time to Second Token (ms),68.28,0.05,1112.53,4915.87,15.01,24.05,24.97,26.50,27.93,33.07,39.81,248.92,831.92,159.61
Tokens In Flight (tokens),176584.46,0.00,363734.00,,,,,,222773.20,,267658.37,295081.28,331383.11,99042.48
Usage Completion Tokens (tokens),591.39,2.00,8160.00,42580.00,22.59,85.45,101.00,111.75,129.50,279.50,1883.60,3643.35,6216.02,1353.70
Usage Prompt Tokens (tokens),80391.40,35118.00,237264.00,5788181.00,35118.71,35537.55,36483.20,40746.25,52706.50,89655.50,216374.20,230222.50,236785.46,62496.18
Usage Total Tokens (tokens),80982.79,35236.00,237314.00,5830761.00,35238.84,35640.05,36610.10,40943.25,52844.50,89804.75,218973.40,232405.85,237169.87,63120.85

