Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),53.45,0.00,517.48,,,,,,51.18,,51.91,95.28,98.04,10.98
Active Decode Throughput Per User (tokens/sec/user),50.75,0.00,517.48,,,,,,51.10,,51.66,51.86,54.81,3.12
Active Prefill Throughput (tokens/sec),173921.30,48940.67,430625.96,,,,,,156669.97,,290900.66,345419.71,430625.96,87267.55
Active Prefill Throughput Per User (tokens/sec/user),173921.30,48940.67,430625.96,,,,,,156669.97,,290900.66,345419.71,430625.96,87267.55
Active Total Throughput (tokens/sec),7130.68,47.75,430625.96,,,,,,51.21,,52.08,96.84,234427.35,38605.99
Credit-to-Start Latency (ms),0.74,0.48,1.48,33.35,0.49,0.56,0.57,0.62,0.74,0.79,0.88,1.07,1.35,0.18
Decode Duration (ms),16336.14,157.96,78778.54,735126.28,220.01,1683.75,2104.95,3506.21,10924.48,18417.17,45393.99,58507.43,75931.71,19123.07
E2E Output Token Throughput (tokens/sec/user),45.37,11.58,50.84,2041.46,13.67,38.11,41.99,44.58,47.45,49.45,50.12,50.41,50.77,7.46
Effective Concurrency,0.82,0.00,2.00,,,,,,1.00,,1.00,1.00,2.00,0.48
Effective Decode Concurrency,0.79,0.00,2.00,,,,,,1.00,,1.00,1.00,2.00,0.50
Effective Decode Throughput (tokens/sec),40.01,0.00,517.48,,,,,,50.86,,51.72,54.10,97.87,25.06
Effective Decode Throughput Per User (tokens/sec/user),37.99,0.00,517.48,,,,,,50.71,,51.56,51.77,53.56,22.18
Effective Latency (CO-aware) (ms),16991.39,778.13,80178.62,764612.65,867.42,2251.80,2590.46,3941.21,11446.06,18910.73,46428.36,59140.58,76974.58,19241.66
Effective Prefill Concurrency,0.03,0.00,1.00,,,,,,0.00,,0.00,0.00,1.00,0.18
Effective Prefill Throughput (tokens/sec),5508.07,0.00,430625.96,,,,,,0.00,,0.00,0.00,217741.91,34187.97
Effective Prefill Throughput Per User (tokens/sec/user),5508.07,0.00,430625.96,,,,,,0.00,,0.00,0.00,217741.91,34187.97
Effective Total Throughput (tokens/sec),5548.08,0.00,430625.96,,,,,,51.07,,51.72,96.15,217741.91,34182.08
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,827.93,9.00,4045.00,37257.00,12.08,85.80,109.40,183.00,522.00,945.00,2328.20,2821.80,3890.56,967.05
HTTP Chunks Sent,1.00,1.00,1.00,45.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.20,0.00,1.77,9.01,0.00,0.00,0.00,0.00,0.00,0.40,0.50,0.60,1.60,0.36
HTTP Connection Overhead (ms),0.25,0.00,3.14,11.39,0.00,0.00,0.00,0.00,0.00,0.40,0.50,0.60,2.82,0.59
HTTP Connection Reused (ratio),0.67,0.00,1.00,30.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,0.47
HTTP Data Received (KB),200.33,2.79,976.32,9014.81,3.54,21.32,27.01,44.76,126.53,228.57,562.21,681.27,939.07,233.26
HTTP Data Sent (KB),444.78,258.03,661.65,20015.16,260.93,271.54,279.78,334.25,429.26,534.31,637.40,647.31,657.87,125.43
HTTP DNS Lookup (ms),0.05,0.00,1.37,2.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.21,0.25
HTTP Duration (excl. conn) (ms),16990.60,777.28,80177.93,764576.88,866.52,2250.71,2589.72,3939.96,11445.44,18910.08,46427.59,59139.73,76973.89,19241.65
HTTP Receiving (ms),16336.14,157.97,78778.55,735126.48,220.02,1683.75,2104.95,3506.21,10924.49,18417.17,45394.00,58507.43,75931.72,19123.07
HTTP Sending (ms),0.33,0.11,1.93,14.96,0.11,0.11,0.12,0.12,0.13,0.53,0.65,0.78,1.75,0.37
HTTP Total Time (ms),16990.85,777.28,80178.32,764588.27,866.52,2251.55,2589.97,3940.43,11445.82,18910.08,46427.59,59140.19,76974.11,19241.60
HTTP Waiting (TTFB) (ms),654.12,262.92,2374.89,29435.44,269.91,306.29,365.47,476.43,552.38,673.76,990.77,1350.68,2230.04,400.16
Input Sequence Length (tokens),113833.47,65823.00,169518.00,5122506.00,66539.76,69221.00,71394.80,85767.00,110250.00,136585.00,163298.40,165930.00,168545.60,32178.67
Inter Chunk Latency (ms),19.76,1.93,413.58,735126.28,17.83,19.28,19.36,19.46,19.58,19.85,20.39,20.83,21.62,3.82
Inter Token Latency (ms),19.72,19.20,20.97,887.46,19.21,19.25,19.34,19.47,19.56,19.85,20.34,20.72,20.96,0.42
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Output Sequence Length (tokens),827.93,9.00,4045.00,37257.00,12.08,85.80,109.40,183.00,522.00,945.00,2328.20,2821.80,3890.56,967.05
Output Token Count (tokens),827.93,9.00,4045.00,37257.00,12.08,85.80,109.40,183.00,522.00,945.00,2328.20,2821.80,3890.56,967.05
Output Token Throughput Per User (tokens/sec/user),50.73,47.69,52.08,2282.83,47.72,48.26,49.16,50.37,51.12,51.35,51.70,51.96,52.06,1.06
Prefill Throughput Per User (tokens/sec/user),205896.47,48940.67,430626.01,9265341.30,56977.26,76751.12,114109.62,142634.10,187311.66,260134.77,325743.55,350699.98,404803.02,84739.81
Request Latency (ms),16990.65,777.34,80177.98,764579.29,866.58,2250.77,2589.77,3940.03,11445.49,18910.13,46427.64,59139.78,76973.94,19241.65
Time to First Token (ms),654.51,263.07,2375.07,29453.01,270.87,306.45,365.88,476.91,552.56,673.97,991.21,1351.19,2230.53,400.17
Time to Second Token (ms),18.62,15.97,21.09,837.72,16.03,16.83,17.69,18.07,18.70,19.06,19.84,20.27,20.99,1.01
Tokens In Flight (tokens),100489.69,0.00,246677.00,,,,,,106412.00,,166282.00,168963.00,245783.00,63664.27
Usage Completion Tokens (tokens),827.93,9.00,4045.00,37257.00,12.08,85.80,109.40,183.00,522.00,945.00,2328.20,2821.80,3890.56,967.05
Usage Prompt Tokens (tokens),113833.47,65823.00,169518.00,5122506.00,66539.76,69221.00,71394.80,85767.00,110250.00,136585.00,163298.40,165930.00,168545.60,32178.67
Usage Total Tokens (tokens),114661.40,66006.00,170228.00,5159763.00,66750.48,69359.00,71548.20,86334.00,111467.00,138135.00,164710.80,167477.00,169922.64,32379.96

Metric,Value
Benchmark Duration (sec),891.07
Input Token Throughput (tokens/sec),5508.07
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),40.06
Request Count,45.00
Request Error Rate (%),0.00
Request Throughput (requests/sec),0.05
Theoretical Prefix Cache Hit (%),97.37
Total Input Sequence Length (tokens),5122506.00
Total Output Sequence Length (tokens),37257.00
Total Output Tokens (tokens),37257.00
Total Token Throughput (tokens/sec),5548.13
Total Usage Completion Tokens (tokens),37257.00
Total Usage Prompt Tokens (tokens),5122506.00
Total Usage Total Tokens (tokens),5159763.00


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Platform,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
