Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),59.61,0.00,138354.86,,,,,,61.44,,92.62,171.99,239.86,281.60
Active Decode Throughput Per User (tokens/sec/user),49.23,0.00,138354.86,,,,,,59.85,,69.16,75.77,140.43,236.02
Active Prefill Throughput (tokens/sec),11871.48,2288.57,12866.10,,,,,,12117.36,,12762.01,12769.16,12866.10,960.84
Active Prefill Throughput Per User (tokens/sec/user),11871.48,2288.57,12866.10,,,,,,12117.36,,12762.01,12769.16,12866.10,960.84
Active Total Throughput (tokens/sec),3993.79,34.72,12866.10,,,,,,52.44,,12464.76,12644.81,12866.10,5597.00
Credit-to-Start Latency (ms),9.75,0.03,54.43,370.33,0.03,0.12,0.44,0.72,1.37,19.68,31.16,32.29,46.82,14.30
Decode Duration (ms),19066.66,492.78,86611.66,724533.01,675.44,1315.13,2507.25,3917.41,10923.31,19837.89,60816.85,76885.90,83371.93,23139.59
E2E Output Token Throughput (tokens/sec/user),27.62,4.93,46.98,1049.44,5.52,11.71,14.70,19.35,30.48,34.25,40.42,43.50,46.43,10.57
Effective Concurrency,1.07,0.00,4.00,,,,,,1.00,,2.00,3.00,4.00,0.76
Effective Decode Concurrency,0.78,0.00,4.00,,,,,,1.00,,1.00,3.00,3.00,0.83
Effective Decode Throughput (tokens/sec),36.14,0.00,138354.86,,,,,,7.67,,69.83,121.55,220.38,221.18
Effective Decode Throughput Per User (tokens/sec/user),29.84,0.00,138354.86,,,,,,7.60,,66.59,70.45,108.26,185.33
Effective Latency (CO-aware) (ms),26164.12,870.12,93585.38,994236.41,3567.96,8671.29,9615.13,11393.09,17639.15,26708.07,68159.01,83073.92,90820.84,23402.43
Effective Prefill Concurrency,0.29,0.00,1.00,,,,,,0.00,,1.00,1.00,1.00,0.45
Effective Prefill Throughput (tokens/sec),3437.93,0.00,12866.10,,,,,,0.00,,12449.61,12576.21,12866.10,5409.37
Effective Prefill Throughput Per User (tokens/sec/user),3437.93,0.00,12866.10,,,,,,0.00,,12449.61,12576.21,12866.10,5409.37
Effective Total Throughput (tokens/sec),3474.07,0.00,12866.10,,,,,,52.17,,12449.61,12576.21,12866.10,5390.31
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,713.16,21.00,3283.00,27100.00,29.14,52.35,104.50,167.25,439.50,738.00,2189.40,2680.25,3165.34,846.17
HTTP Chunks Sent,1.00,1.00,1.00,38.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.20,0.00,0.95,7.76,0.00,0.00,0.00,0.00,0.00,0.43,0.72,0.89,0.93,0.32
HTTP Connection Overhead (ms),0.20,0.00,0.95,7.76,0.00,0.00,0.00,0.00,0.00,0.43,0.72,0.89,0.93,0.32
HTTP Connection Reused (ratio),0.68,0.00,1.00,26.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,0.46
HTTP Data Received (KB),214.21,6.41,976.32,8139.90,8.91,17.27,32.56,49.47,132.93,222.05,654.59,811.69,945.00,253.28
HTTP Data Sent (KB),328.24,2.65,472.46,12473.02,51.44,134.57,217.15,269.37,318.12,426.59,460.10,469.05,472.16,108.82
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),26154.27,815.64,93553.76,993862.18,3533.39,8670.66,9613.18,11391.44,17638.43,26699.65,68136.86,83047.40,90798.68,23399.16
HTTP Receiving (ms),19066.67,492.79,86611.66,724533.49,675.46,1315.14,2507.26,3917.43,10923.38,19837.90,60816.85,76885.91,83371.93,23139.58
HTTP Sending (ms),0.41,0.09,1.33,15.71,0.09,0.10,0.11,0.16,0.27,0.58,0.99,1.09,1.26,0.34
HTTP Total Time (ms),26154.47,815.64,93553.76,993869.94,3533.55,8670.73,9613.82,11391.44,17638.43,26699.76,68136.86,83047.54,90799.04,23399.15
HTTP Waiting (TTFB) (ms),7087.18,322.75,9760.87,269312.98,1660.10,4036.55,5045.63,6149.64,6769.58,8772.21,9389.24,9582.42,9726.67,1965.58
Input Sequence Length (tokens),84141.61,739.00,121334.00,3197381.00,13397.81,34952.00,55437.40,68942.00,81397.00,109521.25,118302.20,120460.30,121262.96,27965.39
Inter Chunk Latency (ms),21.56,0.00,5561.84,724533.01,0.00,0.00,0.00,0.32,18.95,20.09,22.87,34.09,166.97,96.68
Inter Token Latency (ms),21.19,18.54,41.78,805.15,18.58,18.90,19.00,19.07,19.27,19.44,24.90,36.89,40.02,5.41
