Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),54.52,0.00,108259.08,,,,,,61.60,,114.95,120.71,167.39,256.91
Active Decode Throughput Per User (tokens/sec/user),45.27,0.00,108259.08,,,,,,57.68,,67.96,72.48,129.30,204.53
Active Prefill Throughput (tokens/sec),11917.56,9813.01,21314.28,,,,,,11996.23,,12773.57,12816.32,21314.28,1291.70
Active Prefill Throughput Per User (tokens/sec/user),11794.38,9813.01,12911.34,,,,,,11996.23,,12773.57,12816.32,12911.34,806.86
Active Total Throughput (tokens/sec),5280.00,36.72,21314.28,,,,,,84.24,,12498.61,12773.57,12911.34,5952.01
Credit-to-Start Latency (ms),1.53,0.00,24.10,53.44,0.00,0.00,0.00,0.00,0.11,1.56,2.85,4.29,17.75,4.07
Decode Duration (ms),16572.57,12.13,110125.54,580039.95,76.61,1202.45,1858.94,3197.89,10078.84,15878.25,47230.47,53887.49,93567.82,22468.41
E2E Output Token Throughput (tokens/sec/user),22.96,0.81,44.11,803.47,0.90,4.11,7.42,16.38,22.99,31.53,36.82,39.49,42.61,11.10
Effective Concurrency,1.00,0.00,2.00,,,,,,1.00,,2.00,2.00,2.00,0.57
Effective Decode Concurrency,0.63,0.00,2.00,,,,,,1.00,,2.00,2.00,2.00,0.66
Effective Decode Throughput (tokens/sec),28.79,0.00,108259.08,,,,,,0.24,,69.87,115.57,133.04,188.66
Effective Decode Throughput Per User (tokens/sec/user),23.91,0.00,108259.08,,,,,,0.24,,65.62,68.18,94.84,150.33
Effective Latency (CO-aware) (ms),26376.73,8374.95,118365.06,923185.61,8591.69,9376.78,10423.56,12982.21,16909.88,26562.15,58581.80,70020.54,103856.22,23277.84
Effective Prefill Concurrency,0.37,0.00,2.00,,,,,,0.00,,1.00,1.00,1.00,0.49
Effective Prefill Throughput (tokens/sec),4383.67,0.00,21314.28,,,,,,0.00,,12438.69,12654.30,12911.34,5799.98
Effective Prefill Throughput Per User (tokens/sec/user),4338.35,0.00,12911.34,,,,,,0.00,,12282.79,12654.30,12911.34,5708.44
Effective Total Throughput (tokens/sec),4412.46,0.00,21314.28,,,,,,52.27,,12438.69,12654.30,12911.34,5782.18
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,608.09,3.00,3246.00,21283.00,6.06,52.60,73.80,131.50,421.00,503.50,1766.40,2059.70,2954.28,747.83
HTTP Chunks Sent,1.00,1.00,1.00,35.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.75,0.00,6.18,26.15,0.00,0.00,0.00,0.00,0.00,0.99,1.50,3.91,5.70,1.38
HTTP Connection Overhead (ms),0.75,0.00,6.18,26.15,0.00,0.00,0.00,0.00,0.00,0.99,1.50,3.91,5.70,1.38
HTTP Connection Reused (ratio),0.57,0.00,1.00,20.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,0.49
HTTP Data Received (KB),183.83,2.79,976.32,6433.89,3.37,15.96,24.02,40.54,126.29,151.50,535.39,622.06,884.06,224.39
HTTP Data Sent (KB),451.65,258.03,661.65,15807.69,260.27,268.41,278.34,304.47,436.97,582.38,643.93,649.04,658.73,141.11
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),26375.60,8376.82,118367.31,923146.08,8593.11,9377.73,10423.77,12983.20,16911.41,26562.34,58580.61,70001.61,103856.99,23276.59
HTTP Receiving (ms),16572.59,12.14,110125.53,580040.49,76.62,1202.45,1858.95,3197.89,10078.89,15878.26,47230.49,53887.51,93567.83,22468.41
HTTP Sending (ms),1.16,0.09,7.08,40.53,0.10,0.13,0.15,0.19,0.49,1.37,1.88,5.72,6.86,1.68
HTTP Total Time (ms),26376.35,8377.30,118373.49,923172.23,8593.43,9378.53,10426.89,12983.20,16911.41,26563.14,58580.95,70004.38,103861.39,23277.34
HTTP Waiting (TTFB) (ms),9801.86,6188.11,16900.14,343065.06,6205.86,6284.99,6352.24,6799.41,9264.65,11919.79,13697.69,14455.39,16222.37,2901.57
Input Sequence Length (tokens),115495.60,65825.00,169519.00,4042346.00,66378.86,68418.60,71005.00,77784.50,111431.00,149078.50,165047.80,166344.40,168767.60,36219.90
Inter Chunk Latency (ms),21.85,0.00,5937.03,580039.95,0.00,0.00,0.00,0.33,19.21,20.54,22.74,33.38,167.06,102.11
Inter Token Latency (ms),19.97,1.52,46.07,698.82,5.57,17.31,19.04,19.18,19.42,19.66,20.56,27.03,39.66,5.80
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Output Sequence Length (tokens),759.51,9.00,4045.00,26583.00,11.38,63.60,97.00,165.50,521.00,625.50,2217.00,2576.30,3662.50,930.28
Output Token Count (tokens),759.51,9.00,4045.00,26583.00,11.38,63.60,97.00,165.50,521.00,625.50,2217.00,2576.30,3662.50,930.28
Output Token Throughput Per User (tokens/sec/user),67.77,21.71,659.30,2371.90,26.81,37.00,48.69,50.87,51.50,52.14,52.51,59.22,460.41,101.70
Prefill Throughput Per User (tokens/sec/user),11709.59,9813.01,12911.34,409835.58,9873.69,10291.21,10633.89,11306.07,11945.62,12269.71,12605.00,12786.39,12879.04,796.33
Request Latency (ms),26375.80,8376.91,118367.39,923153.05,8593.24,9377.89,10423.97,12983.26,16911.49,26562.48,58580.75,70003.13,103857.14,23276.69
Time to First Token (ms),9803.23,6188.54,16909.28,343113.10,6206.37,6285.83,6352.60,6802.40,9266.19,11920.05,13698.48,14456.89,16228.65,2901.90
Time to Second Token (ms),171.00,0.00,5124.75,5985.04,0.00,0.00,0.00,5.33,17.11,19.53,103.51,158.38,3436.21,850.54
Tokens In Flight (tokens),125884.71,0.00,271186.00,,,,,,129831.00,,247732.00,268224.00,270670.00,78907.09
Usage Completion Tokens (tokens),759.51,9.00,4045.00,26583.00,11.38,63.60,97.00,165.50,521.00,625.50,2217.00,2576.30,3662.50,930.28
Usage Prompt Tokens (tokens),115495.60,65825.00,169519.00,4042346.00,66378.86,68418.60,71005.00,77784.50,111431.00,149078.50,165047.80,166344.40,168767.60,36219.90
Usage Total Tokens (tokens),116255.11,66008.00,170229.00,4068929.00,66583.28,68564.50,71235.40,78377.50,111804.00,149578.50,166091.20,168328.90,169993.04,36452.00

Metric,Value
Benchmark Duration (sec),912.11
Input Token Throughput (tokens/sec),4383.67
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),28.83
Request Count,35.00
Request Error Rate (%),0.00
Request Throughput (requests/sec),0.04
Theoretical Prefix Cache Hit (%),97.10
Total Input Sequence Length (tokens),4042346.00
Total Output Sequence Length (tokens),26583.00
Total Output Tokens (tokens),26583.00
Total Token Throughput (tokens/sec),4412.49
Total Usage Completion Tokens (tokens),26583.00
Total Usage Prompt Tokens (tokens),4042346.00
Total Usage Total Tokens (tokens),4068929.00


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Platform,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
