Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),75.87,0.00,18683.78,,,,,,47.29,,174.45,196.81,230.87,72.46
Active Decode Throughput Per User (tokens/sec/user),35.53,0.00,12780.96,,,,,,39.32,,47.33,47.45,47.59,20.68
Active Prefill Throughput (tokens/sec),58220.18,2086.41,339295.09,,,,,,41197.15,,119670.53,142210.33,224889.72,45979.28
Active Prefill Throughput Per User (tokens/sec/user),53060.17,2086.41,339295.09,,,,,,39687.54,,108380.11,135187.08,224889.72,44230.95
Active Total Throughput (tokens/sec),9035.90,11.83,339336.13,,,,,,68.26,,32268.43,65813.44,127047.97,27691.96
Credit-to-Start Latency (ms),1.03,0.52,4.38,107.35,0.53,0.60,0.64,0.69,0.80,1.04,1.84,2.35,4.03,0.67
Decode Duration (ms),19237.75,579.45,251741.39,2000726.29,1139.55,2107.83,2556.90,4050.24,6349.71,19461.39,29530.86,58144.62,232667.78,38366.51
E2E Output Token Throughput (tokens/sec/user),25.54,9.66,44.40,2656.68,10.95,13.90,16.39,21.67,25.52,29.70,32.73,38.38,41.88,6.82
Effective Concurrency,2.31,0.00,7.00,,,,,,1.00,,5.00,6.00,7.00,1.99
Effective Decode Concurrency,2.15,0.00,7.00,,,,,,1.00,,5.00,6.00,7.00,1.89
Effective Decode Throughput (tokens/sec),66.13,0.00,18683.78,,,,,,45.89,,169.21,189.91,229.70,72.25
Effective Decode Throughput Per User (tokens/sec/user),30.97,0.00,12780.96,,,,,,36.50,,47.29,47.44,47.58,22.67
Effective Latency (CO-aware) (ms),20647.29,2227.70,253810.01,2147318.26,2487.85,2772.57,3443.49,4835.48,7717.62,22259.31,32080.86,63224.07,233265.28,38582.28
Effective Prefill Concurrency,0.16,0.00,3.00,,,,,,0.00,,1.00,1.00,2.00,0.42
Effective Prefill Throughput (tokens/sec),8052.88,0.00,339295.09,,,,,,0.00,,28890.31,61696.98,127047.97,26389.54
Effective Prefill Throughput Per User (tokens/sec/user),7339.16,0.00,339295.09,,,,,,0.00,,28126.12,49980.68,121962.49,24620.22
Effective Total Throughput (tokens/sec),8119.01,0.00,339336.13,,,,,,46.24,,28992.55,61805.00,127047.97,26390.83
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,580.89,24.00,6700.00,60413.00,52.27,75.15,86.60,105.00,166.00,553.00,853.50,2534.90,6064.70,1156.97
HTTP Chunks Sent,1.00,1.00,1.00,104.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.13,0.00,2.33,13.20,0.00,0.00,0.00,0.00,0.00,0.00,0.42,0.52,2.03,0.37
HTTP Connection Overhead (ms),0.18,0.00,4.27,18.53,0.00,0.00,0.00,0.00,0.00,0.00,0.42,0.52,3.53,0.63
HTTP Connection Reused (ratio),0.83,0.00,1.00,86.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,0.38
HTTP Data Received (KB),146.52,6.59,1696.77,15237.70,13.45,19.04,21.78,26.24,40.95,136.94,215.90,640.79,1543.53,294.70
HTTP Data Sent (KB),282.99,15.08,674.16,29431.43,67.50,70.42,75.00,166.90,242.28,355.39,576.16,636.53,667.04,173.01
HTTP DNS Lookup (ms),0.05,0.00,1.94,5.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.50,0.27
HTTP Duration (excl. conn) (ms),20646.19,2226.92,253809.09,2147203.89,2484.54,2771.79,3442.76,4834.67,7715.04,22258.34,32079.01,63222.96,233264.24,38582.22
HTTP Receiving (ms),19238.82,579.45,251774.96,2000836.79,1139.55,2107.83,2556.91,4050.24,6349.72,19461.39,29530.86,58144.63,232667.78,38368.36
HTTP Sending (ms),0.29,0.10,2.51,29.79,0.10,0.13,0.13,0.15,0.16,0.19,0.59,0.71,2.20,0.38
HTTP Total Time (ms),20646.37,2226.92,253809.51,2147222.42,2484.55,2772.33,3443.13,4834.67,7715.24,22258.65,32079.01,63222.96,233264.24,38582.21
HTTP Waiting (TTFB) (ms),1407.09,242.26,5610.48,146337.31,245.69,283.74,329.44,507.74,1301.41,1898.35,2648.44,2940.71,5541.68,1129.40
Input Sequence Length (tokens),72011.50,3972.00,170588.00,7489196.00,17534.87,18340.75,19477.60,42679.00,61699.50,90288.75,145777.00,161108.00,169921.78,43693.82
Inter Chunk Latency (ms),33.18,0.08,5485.23,2000726.29,21.56,22.01,22.07,22.58,27.90,29.39,30.62,31.81,73.85,99.26
Inter Token Latency (ms),35.96,21.62,84.54,3739.65,21.88,22.49,25.08,28.78,33.48,40.17,46.72,53.66,79.22,10.86
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Output Sequence Length (tokens),592.38,24.00,6903.00,61608.00,52.27,75.15,86.60,105.00,166.50,559.00,865.50,2567.05,6361.82,1188.89
Output Token Count (tokens),592.38,24.00,6903.00,61608.00,52.27,75.15,86.60,105.00,166.50,559.00,865.50,2567.05,6361.82,1188.89
Output Token Throughput Per User (tokens/sec/user),29.86,11.83,46.24,3105.59,12.64,18.64,21.40,24.89,29.86,34.75,39.87,44.50,45.71,7.38
Prefill Throughput Per User (tokens/sec/user),76467.04,2086.41,339295.09,7952572.58,9463.30,13770.85,19045.95,35828.51,58002.77,106950.11,151964.03,199519.16,250300.36,59881.66
Request Latency (ms),20645.20,2227.01,253775.58,2147100.64,2484.58,2771.86,3442.83,4834.74,7715.11,22258.41,32079.07,63223.03,233264.31,38580.35
Time to First Output Token (ms),12659.26,1596.76,43007.26,519029.71,2328.58,3928.66,4407.14,7376.89,10714.64,17133.56,20734.36,26037.41,38431.36,7940.79
Time to First Token (ms),1407.45,242.51,5610.69,146374.36,246.08,283.98,330.36,508.11,1301.61,1898.54,2649.69,2940.90,5542.26,1129.38
Time to Second Token (ms),153.74,21.69,2786.98,15988.63,23.29,24.59,25.63,27.66,29.42,32.23,227.27,786.58,2019.61,441.53
Tokens In Flight (tokens),247899.03,0.00,645564.75,,,,,,170880.62,,516406.56,579523.09,635199.24,170871.50
Usage Completion Tokens (tokens),592.38,24.00,6903.00,61608.00,52.27,75.15,86.60,105.00,166.50,559.00,865.50,2567.05,6361.82,1188.89
Usage Prompt Tokens (tokens),72011.50,3972.00,170588.00,7489196.00,17534.87,18340.75,19477.60,42679.00,61699.50,90288.75,145777.00,161108.00,169921.78,43693.82
Usage Total Tokens (tokens),72603.88,3996.00,177491.00,7550804.00,17661.41,18405.50,19572.20,42934.25,61967.50,91376.75,146485.10,161213.70,172377.00,44243.04

Metric,Value
Benchmark Duration (sec),891.84
Input Token Throughput (tokens/sec),8052.88
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),66.24
Request Count,104.00
Request Error Rate (%),0.00
Request Throughput (requests/sec),0.11
Theoretical Prefix Cache Hit (%),90.32
Total Input Sequence Length (tokens),7489196.00
Total Output Sequence Length (tokens),61608.00
Total Output Tokens (tokens),61608.00
Total Token Throughput (tokens/sec),8119.12
Total Usage Completion Tokens (tokens),61608.00
Total Usage Prompt Tokens (tokens),7489196.00
Total Usage Total Tokens (tokens),7550804.00


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Platform,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
