Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),40.67,0.00,113.71,,,,,,42.54,,74.88,76.51,82.30,22.03
Active Decode Throughput Per User (tokens/sec/user),26.34,0.00,112.19,,,,,,23.30,,43.70,45.36,54.39,15.68
Active Prefill Throughput (tokens/sec),8677.18,968.55,101403.53,,,,,,3982.02,,21094.60,24791.14,56299.01,12358.91
Active Prefill Throughput Per User (tokens/sec/user),8468.42,968.55,101403.53,,,,,,3466.68,,21094.60,24791.14,56299.01,12460.27
Active Total Throughput (tokens/sec),3185.55,13.78,101403.53,,,,,,46.92,,10726.22,16781.46,38173.84,8530.75
Credit-to-Start Latency (ms),1.31,0.66,5.47,35.30,0.67,0.71,0.75,0.82,0.90,1.33,1.90,3.49,5.11,1.06
Decode Duration (ms),46783.36,297.31,239632.82,1263150.68,364.87,921.94,2389.15,5988.20,15598.55,55628.15,175248.64,214314.00,233434.26,69467.41
E2E Output Token Throughput (tokens/sec/user),19.77,2.29,40.13,533.76,2.81,4.69,6.38,12.31,21.61,27.23,32.24,32.75,38.24,10.14
Effective Concurrency,1.76,0.00,4.00,,,,,,1.00,,4.00,4.00,4.00,1.34
Effective Decode Concurrency,1.38,0.00,4.00,,,,,,1.00,,3.00,4.00,4.00,1.34
Effective Decode Throughput (tokens/sec),28.13,0.00,113.71,,,,,,35.56,,61.09,75.68,82.11,26.24
Effective Decode Throughput Per User (tokens/sec/user),18.22,0.00,112.19,,,,,,17.11,,42.82,44.61,53.72,17.83
Effective Latency (CO-aware) (ms),59719.88,1359.70,266059.79,1612436.64,2027.59,4074.29,5330.01,13613.69,26190.76,67431.58,196501.50,228154.66,257123.94,73968.42
Effective Prefill Concurrency,0.38,0.00,3.00,,,,,,0.00,,1.00,1.00,3.00,0.62
Effective Prefill Throughput (tokens/sec),2854.55,0.00,101403.53,,,,,,0.00,,9313.18,14354.79,34624.99,8177.35
Effective Prefill Throughput Per User (tokens/sec/user),2785.87,0.00,101403.53,,,,,,0.00,,9313.18,14354.79,34624.99,8179.64
Effective Total Throughput (tokens/sec),2882.68,0.00,101403.53,,,,,,46.92,,9313.18,14354.79,34624.99,8168.71
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,398.41,6.00,1606.00,10757.00,7.04,16.00,40.20,101.00,228.00,413.00,1036.60,1417.00,1584.94,452.37
HTTP Chunks Sent,1.00,1.00,1.00,27.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.22,0.00,2.53,5.88,0.00,0.00,0.00,0.00,0.00,0.40,0.43,0.46,1.99,0.49
HTTP Connection Overhead (ms),0.29,0.00,4.60,7.95,0.00,0.00,0.00,0.00,0.00,0.40,0.43,0.46,3.52,0.86
HTTP Connection Reused (ratio),0.67,0.00,1.00,18.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,0.47
HTTP Data Received (KB),103.32,2.28,418.31,2789.67,2.54,4.76,10.87,25.90,57.53,105.78,270.44,368.78,412.95,117.91
HTTP Data Sent (KB),381.00,2.51,632.18,10287.11,38.14,139.55,139.60,265.55,412.29,517.99,541.75,602.29,631.02,161.07
HTTP DNS Lookup (ms),0.08,0.00,2.07,2.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.53,0.39
HTTP Duration (excl. conn) (ms),59718.50,1354.16,266059.02,1612399.40,2023.25,4073.35,5328.31,13612.52,26189.77,67430.39,196500.63,228153.84,257123.16,73968.60
HTTP Receiving (ms),46783.36,297.31,239632.83,1263150.77,364.87,921.94,2389.16,5988.21,15598.55,55628.15,175248.65,214314.01,233434.27,69467.41
HTTP Sending (ms),0.39,0.15,2.81,10.49,0.15,0.15,0.15,0.16,0.16,0.57,0.62,0.65,2.25,0.51
HTTP Total Time (ms),59718.79,1354.16,266059.02,1612407.34,2023.25,4073.35,5328.55,13615.02,26189.77,67430.60,196500.63,228153.84,257123.16,73968.46
HTTP Waiting (TTFB) (ms),12934.75,796.82,52160.13,349238.14,936.38,1364.97,1725.41,4382.50,9036.90,19894.33,28115.23,32753.93,47488.79,12099.84
Input Sequence Length (tokens),96757.81,772.00,160779.00,2612461.00,9668.42,34989.60,35028.80,66761.50,104673.00,132070.50,138239.00,153334.40,160487.02,41212.52
Inter Chunk Latency (ms),117.66,0.00,27647.41,1263150.68,58.05,59.02,59.49,60.47,93.98,130.01,132.41,134.43,141.05,613.91
Inter Token Latency (ms),39.33,18.67,129.42,1061.83,19.54,22.16,22.84,24.10,26.05,45.03,71.09,91.75,121.77,26.47
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Output Sequence Length (tokens),954.48,9.00,3473.00,25771.00,12.90,32.40,92.20,245.50,554.00,1065.00,2753.60,3215.20,3429.06,1045.07
Output Token Count (tokens),954.48,9.00,3473.00,25771.00,12.90,32.40,92.20,245.50,554.00,1065.00,2753.60,3215.20,3429.06,1045.07
Output Token Throughput Per User (tokens/sec/user),32.97,7.73,53.57,890.18,8.32,11.14,14.07,22.91,38.39,41.49,43.80,45.14,51.45,12.37
Prefill Throughput Per User (tokens/sec/user),20515.29,968.55,101403.54,553912.75,982.77,1085.73,1264.08,3003.70,11783.54,23378.23,45423.91,84033.96,99977.91,25719.13
Request Latency (ms),59718.57,1354.23,266059.09,1612401.34,2023.32,4073.42,5328.38,13612.60,26189.85,67430.46,196500.71,228153.92,257123.23,73968.60
Time to First Output Token (ms),39225.27,5750.69,127704.07,588379.06,5854.94,6271.93,8994.24,15424.36,25783.45,60873.63,80598.81,97864.92,121736.24,34049.18
Time to First Token (ms),12935.21,797.07,52160.37,349250.66,936.63,1365.32,1725.80,4382.73,9037.20,19894.77,28115.74,32754.47,47489.14,12099.83
Time to Second Token (ms),65.94,37.38,121.19,1780.41,40.59,49.80,50.07,51.28,52.78,64.92,110.91,120.03,121.09,25.86
Tokens In Flight (tokens),136976.55,0.00,282018.16,,,,,,129879.00,,277337.78,278588.27,281335.81,75243.73
